City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
252,Marstal,DK,54.8562,10.5173,58.86,77,100,18.5,overcast clouds
253,Russell,US,32.3502,-85.1999,86.99,72,43,2.51,scattered clouds
254,Ravar,IR,31.2656,56.8055,80.91,13,21,2.46,few clouds
255,Iqaluit,CA,63.7506,-68.5145,35.06,76,100,22.01,overcast clouds
256,Paamiut,GL,61.994,-49.6678,34.21,56,100,6.13,overcast clouds
257,Luanda,AO,-8.8368,13.2343,72.18,87,8,10.94,clear sky
258,Skovorodino,RU,53.9833,123.9167,46.58,94,15,3.31,few clouds
259,Stornoway,GB,58.2093,-6.3865,58.93,83,44,29.08,scattered clouds
260,Tilichiki,RU,60.4667,166.1,44.06,93,100,7.76,light rain
261,Kananga,CD,-5.8958,22.4178,82.0,39,51,4.18,broken clouds
262,Shakawe,BW,-18.3667,21.85,80.73,18,19,4.54,few clouds
263,Talavera De La Reina,ES,39.9635,-4.8308,70.61,30,0,11.72,clear sky
264,Lompoc,US,34.6391,-120.4579,93.22,51,0,3.0,clear sky
265,Mareeba,AU,-17.0,145.4333,60.44,52,60,3.98,broken clouds
266,Port Said,EG,31.2565,32.2841,81.95,68,0,11.21,clear sky
267,La Sarre,CA,48.8002,-79.1996,66.83,93,99,19.13,overcast clouds
268,Hithadhoo,MV,-0.6,73.0833,83.62,75,89,15.86,overcast clouds
269,Altamira,BR,-3.2033,-52.2064,97.79,30,49,4.79,scattered clouds
270,Kamina,CD,-8.7386,24.9906,76.5,22,8,5.17,clear sky
271,Mitu,CO,1.1983,-70.1733,85.55,72,100,1.52,overcast clouds
272,Saint George,US,37.1041,-113.5841,81.63,16,0,1.01,clear sky
273,Qaqortoq,GL,60.7167,-46.0333,38.71,58,98,10.65,overcast clouds
274,Silver City,US,32.7701,-108.2803,81.3,22,1,5.99,clear sky
275,Dzhebariki-Khaya,RU,62.2167,135.8,31.28,94,14,1.61,few clouds
276,Ostrovnoy,RU,68.0531,39.5131,37.17,83,16,9.48,few clouds
277,Nikolayevsk-Na-Amure,RU,53.1406,140.73,37.56,91,6,1.9,clear sky
278,Nouadhibou,MR,20.931,-17.0347,72.23,81,9,25.55,clear sky
279,Fairbanks,US,64.8378,-147.7164,34.09,71,100,4.41,overcast clouds
280,Caravelas,BR,-17.7125,-39.2481,81.54,64,5,12.44,clear sky
281,Askino,RU,56.0901,56.5783,39.15,70,96,0.81,overcast clouds
282,Parakai,NZ,-36.65,174.4333,59.65,95,100,7.56,light rain
283,Pangody,RU,65.85,74.4859,34.57,76,100,12.88,overcast clouds
284,Cayenne,GF,4.9333,-52.3333,86.09,77,45,5.01,scattered clouds
285,Iracoubo,GF,5.4802,-53.2011,85.28,67,13,9.55,few clouds
286,Khandagayty,RU,50.7333,92.05,37.49,67,70,9.31,broken clouds
287,Marawi,PH,7.9986,124.2928,65.64,94,99,3.09,overcast clouds
288,Xai-Xai,MZ,-25.0519,33.6442,68.61,76,100,18.05,light rain
289,Nantucket,US,41.2835,-70.0995,76.96,87,78,10.87,broken clouds
290,Saldanha,ZA,-33.0117,17.9442,56.88,74,0,14.0,clear sky
291,Fort-Shevchenko,KZ,44.5086,50.263,71.69,40,68,8.21,broken clouds
292,Fortuna,US,40.5982,-124.1573,88.93,34,0,1.01,clear sky
293,Constitucion,CL,-35.3333,-72.4167,58.5,74,0,11.79,clear sky
294,Aklavik,CA,68.2191,-135.0107,32.77,94,100,12.73,light snow
295,Jumla,NP,29.2747,82.1838,57.7,89,51,3.22,broken clouds
296,Corinth,GR,37.9407,22.9573,80.42,64,8,5.55,clear sky
297,Mahibadhoo,MV,3.7833,72.9667,83.71,75,11,14.41,few clouds
298,Razole,IN,16.4833,81.8333,78.31,85,100,4.05,overcast clouds
299,Kralendijk,BQ,12.15,-68.2667,83.75,76,70,16.55,broken clouds
300,Gunnedah,AU,-30.9833,150.25,34.72,85,2,1.14,clear sky
301,Muros,ES,42.7762,-9.0603,72.23,60,0,14.41,clear sky
302,Hirara,JP,24.8,125.2833,83.91,72,1,5.28,clear sky
303,Guadalupe Y Calvo,MX,26.1,-106.9667,72.81,37,93,1.48,overcast clouds
